epoch_ms,cpu_ticks,rss_kb
1790063077755,0,11212
1790063077863,3,41336
1790063077971,3,41072
1790063078080,3,41072
1790063078188,3,41072
1790063078296,3,43276
1790063078405,10,52532
1790063078514,19,58000
1790063078623,25,68328
1790063078733,32,78616
1790063078841,38,76440
1790063078950,48,74716
1790063079059,54,77700
1790063079168,63,91956
1790063079277,71,82996
1790063079386,79,92328
1790063079496,88,107684
1790063079605,97,102632
1790063079715,106,80668
1790063079824,111,82772
1790063079933,117,83772
1790063080042,122,84528
1790063080150,122,76588
1790063080259,122,76588
1790063080368,122,76544
1790063080476,122,76544
1790063080584,122,76544
1790063080692,122,76544
1790063080801,122,75204
1790063080909,122,75204
1790063081017,122,75204
1790063081125,122,75204
1790063081233,122,75204
1790063081341,122,75204
1790063081449,122,75204
1790063081557,122,75204
1790063081665,122,75204
1790063081773,123,75096
1790063081881,123,72428
1790063081989,123,72428
1790063082098,123,72428
1790063082205,123,72428
1790063082313,123,72428
1790063082422,123,72428
1790063082529,123,72428
1790063082638,123,72428
1790063082747,123,72440
1790063082855,123,72428
1790063082963,123,72428
1790063083072,123,72428
1790063083180,128,78156
1790063083289,135,81884
1790063083397,146,80320
1790063083506,156,81160
1790063083616,167,84120
1790063083725,179,84100
1790063083834,189,84632
1790063083945,200,90988
1790063084054,210,91652
1790063084164,220,93188
1790063084273,230,90536
1790063084382,239,91440
1790063084491,251,94460
1790063084601,261,94424
1790063084711,273,92564
1790063084820,282,93456
1790063084929,294,94048
1790063085038,306,98436
1790063085147,318,98980
1790063085255,329,98192
