Boring CMS listening on http://localhost:4716
[schema:force] short-posts.bench-req-0: 1401/1401 entries broken: short-0: Bench Req 0 is required.; short-1: Bench Req 0 is required.; short-2: Bench Req 0 is required.; short-3: Bench Req 0 is required.; short-4: Bench Req 0 is required.
[schema:force] short-posts.bench-req-1: 1401/1401 entries broken: short-0: Bench Req 1 is required.; short-1: Bench Req 1 is required.; short-2: Bench Req 1 is required.; short-3: Bench Req 1 is required.; short-4: Bench Req 1 is required.
[schema:force] short-posts.bench-req-2: 1401/1401 entries broken: short-0: Bench Req 2 is required.; short-1: Bench Req 2 is required.; short-2: Bench Req 2 is required.; short-3: Bench Req 2 is required.; short-4: Bench Req 2 is required.
[schema:force] short-posts.bench-req-3: 1401/1401 entries broken: short-0: Bench Req 3 is required.; short-1: Bench Req 3 is required.; short-2: Bench Req 3 is required.; short-3: Bench Req 3 is required.; short-4: Bench Req 3 is required.
[schema:force] short-posts.bench-req-4: 1401/1401 entries broken: short-0: Bench Req 4 is required.; short-1: Bench Req 4 is required.; short-2: Bench Req 4 is required.; short-3: Bench Req 4 is required.; short-4: Bench Req 4 is required.
[schema:force] short-posts.bench-req-5: 1401/1401 entries broken: short-0: Bench Req 5 is required.; short-1: Bench Req 5 is required.; short-2: Bench Req 5 is required.; short-3: Bench Req 5 is required.; short-4: Bench Req 5 is required.
[schema:force] short-posts.bench-req-6: 1401/1401 entries broken: short-0: Bench Req 6 is required.; short-1: Bench Req 6 is required.; short-2: Bench Req 6 is required.; short-3: Bench Req 6 is required.; short-4: Bench Req 6 is required.
[schema:force] short-posts.bench-req-7: 1401/1401 entries broken: short-0: Bench Req 7 is required.; short-1: Bench Req 7 is required.; short-2: Bench Req 7 is required.; short-3: Bench Req 7 is required.; short-4: Bench Req 7 is required.
[schema:force] short-posts.bench-req-8: 1401/1401 entries broken: short-0: Bench Req 8 is required.; short-1: Bench Req 8 is required.; short-2: Bench Req 8 is required.; short-3: Bench Req 8 is required.; short-4: Bench Req 8 is required.
[schema:force] short-posts.bench-req-9: 1401/1401 entries broken: short-0: Bench Req 9 is required.; short-1: Bench Req 9 is required.; short-2: Bench Req 9 is required.; short-3: Bench Req 9 is required.; short-4: Bench Req 9 is required.
[schema:force] short-posts.bench-req-10: 1401/1401 entries broken: short-0: Bench Req 10 is required.; short-1: Bench Req 10 is required.; short-2: Bench Req 10 is required.; short-3: Bench Req 10 is required.; short-4: Bench Req 10 is required.
[schema:force] short-posts.bench-req-11: 1401/1401 entries broken: short-0: Bench Req 11 is required.; short-1: Bench Req 11 is required.; short-2: Bench Req 11 is required.; short-3: Bench Req 11 is required.; short-4: Bench Req 11 is required.
[schema:force] short-posts.bench-req-12: 1401/1401 entries broken: short-0: Bench Req 12 is required.; short-1: Bench Req 12 is required.; short-2: Bench Req 12 is required.; short-3: Bench Req 12 is required.; short-4: Bench Req 12 is required.
[schema:force] short-posts.bench-req-13: 1401/1401 entries broken: short-0: Bench Req 13 is required.; short-1: Bench Req 13 is required.; short-2: Bench Req 13 is required.; short-3: Bench Req 13 is required.; short-4: Bench Req 13 is required.
[schema:force] short-posts.bench-req-14: 1401/1401 entries broken: short-0: Bench Req 14 is required.; short-1: Bench Req 14 is required.; short-2: Bench Req 14 is required.; short-3: Bench Req 14 is required.; short-4: Bench Req 14 is required.
[schema:force] short-posts.bench-req-15: 1401/1401 entries broken: short-0: Bench Req 15 is required.; short-1: Bench Req 15 is required.; short-2: Bench Req 15 is required.; short-3: Bench Req 15 is required.; short-4: Bench Req 15 is required.
[schema:force] short-posts.bench-req-16: 1401/1401 entries broken: short-0: Bench Req 16 is required.; short-1: Bench Req 16 is required.; short-2: Bench Req 16 is required.; short-3: Bench Req 16 is required.; short-4: Bench Req 16 is required.
[schema:force] short-posts.bench-req-17: 1401/1401 entries broken: short-0: Bench Req 17 is required.; short-1: Bench Req 17 is required.; short-2: Bench Req 17 is required.; short-3: Bench Req 17 is required.; short-4: Bench Req 17 is required.
[schema:force] short-posts.bench-req-18: 1401/1401 entries broken: short-0: Bench Req 18 is required.; short-1: Bench Req 18 is required.; short-2: Bench Req 18 is required.; short-3: Bench Req 18 is required.; short-4: Bench Req 18 is required.
[schema:force] short-posts.bench-req-19: 1401/1401 entries broken: short-0: Bench Req 19 is required.; short-1: Bench Req 19 is required.; short-2: Bench Req 19 is required.; short-3: Bench Req 19 is required.; short-4: Bench Req 19 is required.
[schema:force] long-articles.bench-req-0: 150/150 entries broken: long-0: Bench Req 0 is required.; long-1: Bench Req 0 is required.; long-2: Bench Req 0 is required.; long-3: Bench Req 0 is required.; long-4: Bench Req 0 is required.
[schema:force] long-articles.bench-req-1: 150/150 entries broken: long-0: Bench Req 1 is required.; long-1: Bench Req 1 is required.; long-2: Bench Req 1 is required.; long-3: Bench Req 1 is required.; long-4: Bench Req 1 is required.
[schema:force] long-articles.bench-req-2: 150/150 entries broken: long-0: Bench Req 2 is required.; long-1: Bench Req 2 is required.; long-2: Bench Req 2 is required.; long-3: Bench Req 2 is required.; long-4: Bench Req 2 is required.
[schema:force] long-articles.bench-req-3: 150/150 entries broken: long-0: Bench Req 3 is required.; long-1: Bench Req 3 is required.; long-2: Bench Req 3 is required.; long-3: Bench Req 3 is required.; long-4: Bench Req 3 is required.
[schema:force] long-articles.bench-req-4: 150/150 entries broken: long-0: Bench Req 4 is required.; long-1: Bench Req 4 is required.; long-2: Bench Req 4 is required.; long-3: Bench Req 4 is required.; long-4: Bench Req 4 is required.
[schema:force] long-articles.bench-req-5: 150/150 entries broken: long-0: Bench Req 5 is required.; long-1: Bench Req 5 is required.; long-2: Bench Req 5 is required.; long-3: Bench Req 5 is required.; long-4: Bench Req 5 is required.
[schema:force] long-articles.bench-req-6: 150/150 entries broken: long-0: Bench Req 6 is required.; long-1: Bench Req 6 is required.; long-2: Bench Req 6 is required.; long-3: Bench Req 6 is required.; long-4: Bench Req 6 is required.
[schema:force] long-articles.bench-req-7: 150/150 entries broken: long-0: Bench Req 7 is required.; long-1: Bench Req 7 is required.; long-2: Bench Req 7 is required.; long-3: Bench Req 7 is required.; long-4: Bench Req 7 is required.
[schema:force] long-articles.bench-req-8: 150/150 entries broken: long-0: Bench Req 8 is required.; long-1: Bench Req 8 is required.; long-2: Bench Req 8 is required.; long-3: Bench Req 8 is required.; long-4: Bench Req 8 is required.
[schema:force] long-articles.bench-req-9: 150/150 entries broken: long-0: Bench Req 9 is required.; long-1: Bench Req 9 is required.; long-2: Bench Req 9 is required.; long-3: Bench Req 9 is required.; long-4: Bench Req 9 is required.
[schema:force] long-articles.bench-req-10: 150/150 entries broken: long-0: Bench Req 10 is required.; long-1: Bench Req 10 is required.; long-2: Bench Req 10 is required.; long-3: Bench Req 10 is required.; long-4: Bench Req 10 is required.
[schema:force] long-articles.bench-req-11: 150/150 entries broken: long-0: Bench Req 11 is required.; long-1: Bench Req 11 is required.; long-2: Bench Req 11 is required.; long-3: Bench Req 11 is required.; long-4: Bench Req 11 is required.
[schema:force] long-articles.bench-req-12: 150/150 entries broken: long-0: Bench Req 12 is required.; long-1: Bench Req 12 is required.; long-2: Bench Req 12 is required.; long-3: Bench Req 12 is required.; long-4: Bench Req 12 is required.
[schema:force] long-articles.bench-req-13: 150/150 entries broken: long-0: Bench Req 13 is required.; long-1: Bench Req 13 is required.; long-2: Bench Req 13 is required.; long-3: Bench Req 13 is required.; long-4: Bench Req 13 is required.
[schema:force] long-articles.bench-req-14: 150/150 entries broken: long-0: Bench Req 14 is required.; long-1: Bench Req 14 is required.; long-2: Bench Req 14 is required.; long-3: Bench Req 14 is required.; long-4: Bench Req 14 is required.
[schema:force] long-articles.bench-req-15: 150/150 entries broken: long-0: Bench Req 15 is required.; long-1: Bench Req 15 is required.; long-2: Bench Req 15 is required.; long-3: Bench Req 15 is required.; long-4: Bench Req 15 is required.
[schema:force] long-articles.bench-req-16: 150/150 entries broken: long-0: Bench Req 16 is required.; long-1: Bench Req 16 is required.; long-2: Bench Req 16 is required.; long-3: Bench Req 16 is required.; long-4: Bench Req 16 is required.
[schema:force] long-articles.bench-req-17: 150/150 entries broken: long-0: Bench Req 17 is required.; long-1: Bench Req 17 is required.; long-2: Bench Req 17 is required.; long-3: Bench Req 17 is required.; long-4: Bench Req 17 is required.
[schema:force] long-articles.bench-req-18: 150/150 entries broken: long-0: Bench Req 18 is required.; long-1: Bench Req 18 is required.; long-2: Bench Req 18 is required.; long-3: Bench Req 18 is required.; long-4: Bench Req 18 is required.
[schema:force] long-articles.bench-req-19: 150/150 entries broken: long-0: Bench Req 19 is required.; long-1: Bench Req 19 is required.; long-2: Bench Req 19 is required.; long-3: Bench Req 19 is required.; long-4: Bench Req 19 is required.
